núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
14,2023,Enero,4,Miércoles,13,12:00 a 17:59,12:00 a 17:59,Guatemala,Villa Nueva,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
15,2023,Enero,4,Miércoles,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,48,45-49,45-49,45 - 49,Robo de armas de fuego,Contra el patrimonio
16,2023,Enero,4,Miércoles,23,18:00 a 23:59,18:00 a 23:59,Jutiapa,Jutiapa,Ignorada,Hombre,29,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
17,2023,Enero,4,Miércoles,16,12:00 a 17:59,12:00 a 17:59,Escuintla,Escuintla,Ignorada,Hombre,38,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
18,2023,Enero,4,Miércoles,15,12:00 a 17:59,12:00 a 17:59,Alta Verapaz,San Pedro Carchá,Ignorada,Hombre,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
19,2023,Enero,4,Miércoles,5,00:00 a 05:59,00:00 a 11:59,Izabal,Livingston,Ignorada,Hombre,46,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
20,2023,Enero,4,Miércoles,8,06:00 a 11:59,00:00 a 11:59,Petén,San Luis,Ignorada,Hombre,51,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
21,2023,Enero,5,Jueves,10,06:00 a 11:59,00:00 a 11:59,Escuintla,San José,Ignorada,Hombre,26,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
22,2023,Enero,5,Jueves,10,06:00 a 11:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Hombre,34,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
23,2023,Enero,5,Jueves,18,18:00 a 23:59,18:00 a 23:59,El Progreso,San Agustín Acasaguastlán,Ignorada,Hombre,42,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
24,2023,Enero,8,Domingo,12,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,18,Hombre,33,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
25,2023,Enero,9,Lunes,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Santa Catarina Pinula,Ignorada,Hombre,34,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
26,2023,Enero,9,Lunes,3,00:00 a 05:59,00:00 a 11:59,Guatemala,Petapa,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
27,2023,Enero,9,Lunes,7,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
28,2023,Enero,9,Lunes,6,06:00 a 11:59,00:00 a 11:59,Santa Rosa,Cuilapa,Ignorada,Hombre,59,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
29,2023,Enero,9,Lunes,2,00:00 a 05:59,00:00 a 11:59,El Progreso,Sansare,Ignorada,Hombre,20,20-24,20-24,20 - 24,Robo de armas de fuego,Contra el patrimonio
30,2023,Enero,10,Martes,14,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,6,Hombre,28,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
31,2023,Enero,10,Martes,12,12:00 a 17:59,12:00 a 17:59,Guatemala,Mixco,Ignorada,Hombre,29,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
32,2023,Enero,10,Martes,12,12:00 a 17:59,12:00 a 17:59,Izabal,Puerto Barrios,Ignorada,Hombre,33,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
33,2023,Enero,10,Martes,14,12:00 a 17:59,12:00 a 17:59,Izabal,Puerto Barrios,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Robo de armas de fuego,Contra el patrimonio
34,2023,Enero,10,Martes,14,12:00 a 17:59,12:00 a 17:59,Petén,Flores,Ignorada,Hombre,31,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
35,2023,Enero,11,Miércoles,14,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,56,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
36,2023,Enero,11,Miércoles,17,12:00 a 17:59,12:00 a 17:59,Escuintla,Escuintla,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
37,2023,Enero,12,Jueves,9,06:00 a 11:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Mujer,39,35-39,35-39,35 - 39,Robo de armas de fuego,Contra el patrimonio
38,2023,Enero,13,Viernes,12,12:00 a 17:59,12:00 a 17:59,Petén,Flores,Ignorada,Hombre,31,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
39,2023,Enero,13,Viernes,19,18:00 a 23:59,18:00 a 23:59,Sacatepéquez,Santo Domingo Xenacoj,Ignorada,Hombre,35,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
40,2023,Enero,14,Sábado,23,18:00 a 23:59,18:00 a 23:59,Guatemala,Guatemala,7,Hombre,27,25-29,25-29,25 - 29,Robo de armas de fuego,Contra el patrimonio
41,2023,Enero,14,Sábado,10,06:00 a 11:59,00:00 a 11:59,Chiquimula,Jocotán,Ignorada,Hombre,47,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
42,2023,Enero,15,Domingo,9,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,22,20-24,20-24,20 - 24,Hurto de armas de fuego,Contra el patrimonio
43,2023,Enero,15,Domingo,13,12:00 a 17:59,12:00 a 17:59,Escuintla,San José,Ignorada,Hombre,52,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
44,2023,Enero,16,Lunes,8,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,15,Hombre,68,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
45,2023,Enero,16,Lunes,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,7,Hombre,59,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
46,2023,Enero,16,Lunes,21,18:00 a 23:59,18:00 a 23:59,Guatemala,Petapa,Ignorada,Hombre,41,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
47,2023,Enero,16,Lunes,10,06:00 a 11:59,00:00 a 11:59,Escuintla,Masagua,Ignorada,Hombre,60,60 y más,60-64,60 - 64,Hurto de armas de fuego,Contra el patrimonio
48,2023,Enero,16,Lunes,12,12:00 a 17:59,12:00 a 17:59,Escuintla,Nueva Concepción,Ignorada,Hombre,42,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
49,2023,Enero,16,Lunes,21,18:00 a 23:59,18:00 a 23:59,Chimaltenango,Tecpán Guatemala,Ignorada,Hombre,26,25-29,25-29,25 - 29,Robo de armas de fuego,Contra el patrimonio
50,2023,Enero,17,Martes,13,12:00 a 17:59,12:00 a 17:59,Guatemala,Mixco,Ignorada,Hombre,28,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
51,2023,Enero,17,Martes,19,18:00 a 23:59,18:00 a 23:59,Escuintla,San José,Ignorada,Hombre,58,55-59,55-59,55 - 59,Robo de armas de fuego,Contra el patrimonio
52,2023,Enero,18,Miércoles,17,12:00 a 17:59,12:00 a 17:59,Guatemala,Mixco,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
53,2023,Enero,18,Miércoles,7,06:00 a 11:59,00:00 a 11:59,Jutiapa,Pasaco,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
54,2023,Enero,18,Miércoles,1,00:00 a 05:59,00:00 a 11:59,Escuintla,Siquinalá,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
55,2023,Enero,18,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Santa Rosa,Chiquimulilla,Ignorada,Hombre,46,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
56,2023,Enero,18,Miércoles,14,12:00 a 17:59,12:00 a 17:59,El Progreso,Sanarate,Ignorada,Hombre,48,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
57,2023,Enero,18,Miércoles,14,12:00 a 17:59,12:00 a 17:59,El Progreso,Sanarate,Ignorada,Hombre,48,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
58,2023,Enero,19,Jueves,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,12,Hombre,68,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
59,2023,Enero,19,Jueves,7,06:00 a 11:59,00:00 a 11:59,Petén,Poptún,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Hurto de armas de fuego,Contra el patrimonio
60,2023,Enero,20,Viernes,19,18:00 a 23:59,18:00 a 23:59,Guatemala,Guatemala,2,Hombre,68,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
61,2023,Enero,20,Viernes,19,18:00 a 23:59,18:00 a 23:59,Guatemala,Villa Nueva,Ignorada,Hombre,23,20-24,20-24,20 - 24,Hurto de armas de fuego,Contra el patrimonio
62,2023,Enero,21,Sábado,23,18:00 a 23:59,18:00 a 23:59,Santa Rosa,Taxisco,Ignorada,Hombre,47,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
63,2023,Enero,21,Sábado,10,06:00 a 11:59,00:00 a 11:59,El Progreso,San Agustín Acasaguastlán,Ignorada,Hombre,42,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
64,2023,Enero,22,Domingo,1,00:00 a 05:59,00:00 a 11:59,Guatemala,Villa Nueva,Ignorada,Hombre,27,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
65,2023,Enero,22,Domingo,11,06:00 a 11:59,00:00 a 11:59,Chimaltenango,El Tejar,Ignorada,Hombre,59,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
66,2023,Enero,23,Lunes,5,00:00 a 05:59,00:00 a 11:59,Guatemala,Guatemala,18,Hombre,25,25-29,25-29,25 - 29,Robo de armas de fuego,Contra el patrimonio
67,2023,Enero,23,Lunes,4,00:00 a 05:59,00:00 a 11:59,Guatemala,Guatemala,17,Hombre,35,35-39,35-39,35 - 39,Robo de armas de fuego,Contra el patrimonio
68,2023,Enero,24,Martes,17,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
69,2023,Enero,25,Miércoles,17,12:00 a 17:59,12:00 a 17:59,Guatemala,Santa Catarina Pinula,Ignorada,Hombre,39,35-39,35-39,35 - 39,Robo de armas de fuego,Contra el patrimonio
70,2023,Enero,25,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,7,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
71,2023,Enero,25,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,7,Hombre,28,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
72,2023,Enero,25,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Guatemala,Amatitlán,Ignorada,Hombre,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
73,2023,Enero,25,Miércoles,19,18:00 a 23:59,18:00 a 23:59,Escuintla,Palín,Ignorada,Hombre,44,40-44,40-44,40 - 44,Robo de armas de fuego,Contra el patrimonio
74,2023,Enero,25,Miércoles,8,06:00 a 11:59,00:00 a 11:59,Sacatepéquez,Antigua Guatemala,Ignorada,Hombre,43,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
75,2023,Enero,26,Jueves,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,21,Mujer,24,20-24,20-24,20 - 24,Hurto de armas de fuego,Contra el patrimonio
76,2023,Enero,26,Jueves,5,00:00 a 05:59,00:00 a 11:59,Escuintla,Siquinalá,Ignorada,Hombre,50,50-54,50-54,50 - 54,Robo de armas de fuego,Contra el patrimonio
77,2023,Enero,26,Jueves,20,18:00 a 23:59,18:00 a 23:59,Chimaltenango,Patzicía,Ignorada,Hombre,35,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
78,2023,Enero,27,Viernes,0,00:00 a 05:59,00:00 a 11:59,San Marcos,San Marcos,Ignorada,Hombre,32,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
79,2023,Enero,27,Viernes,18,18:00 a 23:59,18:00 a 23:59,Chimaltenango,Chimaltenango,Ignorada,Hombre,39,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
80,2023,Enero,28,Sábado,22,18:00 a 23:59,18:00 a 23:59,Guatemala,San José Pinula,Ignorada,Hombre,45,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
81,2023,Enero,28,Sábado,18,18:00 a 23:59,18:00 a 23:59,Guatemala,Villa Nueva,Ignorada,Hombre,29,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
82,2023,Enero,30,Lunes,9,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Mujer,23,20-24,20-24,20 - 24,Hurto de armas de fuego,Contra el patrimonio
83,2023,Enero,31,Martes,8,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,28,25-29,25-29,25 - 29,Robo de armas de fuego,Contra el patrimonio
84,2023,Enero,31,Martes,6,06:00 a 11:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Robo de armas de fuego,Contra el patrimonio
85,2023,Enero,31,Martes,6,06:00 a 11:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Hombre,43,40-44,40-44,40 - 44,Robo de armas de fuego,Contra el patrimonio
86,2023,Enero,31,Martes,12,12:00 a 17:59,12:00 a 17:59,Retalhuleu,Retalhuleu,Ignorada,Hombre,52,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
87,2023,Enero,31,Martes,20,18:00 a 23:59,18:00 a 23:59,Petén,San Benito,Ignorada,Hombre,33,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
88,2023,Enero,31,Martes,23,18:00 a 23:59,18:00 a 23:59,Sacatepéquez,San Lucas Sacatepéquez,Ignorada,Hombre,42,40-44,40-44,40 - 44,Robo de armas de fuego,Contra el patrimonio
89,2023,Febrero,1,Miércoles,14,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,7,Hombre,73,60 y más,70-74,70 - 74,Robo de armas de fuego,Contra el patrimonio
90,2023,Febrero,1,Miércoles,18,18:00 a 23:59,18:00 a 23:59,Guatemala,Guatemala,18,Hombre,54,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
91,2023,Febrero,1,Miércoles,5,00:00 a 05:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Hombre,38,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
92,2023,Febrero,1,Miércoles,16,12:00 a 17:59,12:00 a 17:59,El Progreso,San Agustín Acasaguastlán,Ignorada,Hombre,71,60 y más,70-74,70 - 74,Hurto de armas de fuego,Contra el patrimonio
93,2023,Febrero,2,Jueves,8,06:00 a 11:59,00:00 a 11:59,Guatemala,Petapa,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
94,2023,Febrero,2,Jueves,17,12:00 a 17:59,12:00 a 17:59,San Marcos,Nuevo Progreso,Ignorada,Hombre,47,45-49,45-49,45 - 49,Robo de armas de fuego,Contra el patrimonio
95,2023,Febrero,3,Viernes,21,18:00 a 23:59,18:00 a 23:59,Guatemala,Villa Canales,Ignorada,Hombre,30,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
96,2023,Febrero,3,Viernes,6,06:00 a 11:59,00:00 a 11:59,Escuintla,Iztapa,Ignorada,Hombre,45,45-49,45-49,45 - 49,Robo de armas de fuego,Contra el patrimonio
97,2023,Febrero,3,Viernes,14,12:00 a 17:59,12:00 a 17:59,Chimaltenango,Chimaltenango,Ignorada,Hombre,28,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
98,2023,Febrero,4,Sábado,0,00:00 a 05:59,00:00 a 11:59,Escuintla,Masagua,Ignorada,Hombre,60,60 y más,60-64,60 - 64,Robo de armas de fuego,Contra el patrimonio
99,2023,Febrero,6,Lunes,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Petapa,Ignorada,Hombre,70,60 y más,70-74,70 - 74,Hurto de armas de fuego,Contra el patrimonio
100,2023,Febrero,7,Martes,18,18:00 a 23:59,18:00 a 23:59,Guatemala,Guatemala,18,Hombre,52,50-54,50-54,50 - 54,Robo de armas de fuego,Contra el patrimonio
101,2023,Febrero,7,Martes,9,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,60,60 y más,60-64,60 - 64,Hurto de armas de fuego,Contra el patrimonio
102,2023,Febrero,7,Martes,17,12:00 a 17:59,12:00 a 17:59,Sacatepéquez,Sumpango,Ignorada,Hombre,43,40-44,40-44,40 - 44,Robo de armas de fuego,Contra el patrimonio
103,2023,Febrero,10,Viernes,11,06:00 a 11:59,00:00 a 11:59,Escuintla,Nueva Concepción,Ignorada,Hombre,31,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
104,2023,Febrero,11,Sábado,23,18:00 a 23:59,18:00 a 23:59,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,33,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
105,2023,Febrero,11,Sábado,12,12:00 a 17:59,12:00 a 17:59,Escuintla,Tiquisate,Ignorada,Hombre,45,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
106,2023,Febrero,12,Domingo,0,00:00 a 05:59,00:00 a 11:59,Guatemala,Fraijanes,Ignorada,Hombre,68,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
107,2023,Febrero,12,Domingo,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Fraijanes,Ignorada,Hombre,34,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
108,2023,Febrero,12,Domingo,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Fraijanes,Ignorada,Hombre,34,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
109,2023,Febrero,12,Domingo,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Villa Nueva,Ignorada,Hombre,34,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
110,2023,Febrero,12,Domingo,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Villa Nueva,Ignorada,Hombre,34,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
111,2023,Febrero,12,Domingo,13,12:00 a 17:59,12:00 a 17:59,Guatemala,Petapa,Ignorada,Hombre,45,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
112,2023,Febrero,12,Domingo,19,18:00 a 23:59,18:00 a 23:59,Guatemala,Villa Canales,Ignorada,Hombre,38,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
113,2023,Febrero,12,Domingo,21,18:00 a 23:59,18:00 a 23:59,Guatemala,Villa Nueva,Ignorada,Hombre,33,30-34,30-34,30 - 34,Hurto de armas de fuego,Contra el patrimonio
114,2023,Febrero,12,Domingo,22,18:00 a 23:59,18:00 a 23:59,Escuintla,San José,Ignorada,Hombre,30,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
115,2023,Febrero,13,Lunes,11,06:00 a 11:59,00:00 a 11:59,Santa Rosa,Nueva Santa Rosa,Ignorada,Hombre,62,60 y más,60-64,60 - 64,Hurto de armas de fuego,Contra el patrimonio
116,2023,Febrero,13,Lunes,12,12:00 a 17:59,12:00 a 17:59,Santa Rosa,Pueblo Nuevo Viñas,Ignorada,Hombre,59,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
117,2023,Febrero,14,Martes,6,06:00 a 11:59,00:00 a 11:59,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
118,2023,Febrero,14,Martes,16,12:00 a 17:59,12:00 a 17:59,El Progreso,Guastatoya,Ignorada,Hombre,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
119,2023,Febrero,14,Martes,16,12:00 a 17:59,12:00 a 17:59,El Progreso,Guastatoya,Ignorada,Hombre,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
120,2023,Febrero,15,Miércoles,11,06:00 a 11:59,00:00 a 11:59,Guatemala,Fraijanes,Ignorada,Hombre,62,60 y más,60-64,60 - 64,Robo de armas de fuego,Contra el patrimonio
121,2023,Febrero,16,Jueves,13,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,28,25-29,25-29,25 - 29,Robo de armas de fuego,Contra el patrimonio
122,2023,Febrero,16,Jueves,12,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
123,2023,Febrero,16,Jueves,12,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
124,2023,Febrero,16,Jueves,12,12:00 a 17:59,12:00 a 17:59,Guatemala,Amatitlán,Ignorada,Hombre,44,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
125,2023,Febrero,17,Viernes,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,18,Hombre,40,40-44,40-44,40 - 44,Hurto de armas de fuego,Contra el patrimonio
126,2023,Febrero,17,Viernes,9,06:00 a 11:59,00:00 a 11:59,Guatemala,Amatitlán,Ignorada,Hombre,47,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
127,2023,Febrero,17,Viernes,16,12:00 a 17:59,12:00 a 17:59,Guatemala,Mixco,Ignorada,Hombre,52,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
128,2023,Febrero,17,Viernes,21,18:00 a 23:59,18:00 a 23:59,Huehuetenango,La Democracia,Ignorada,Hombre,25,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
129,2023,Febrero,18,Sábado,3,00:00 a 05:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,40,40-44,40-44,40 - 44,Robo de armas de fuego,Contra el patrimonio
130,2023,Febrero,19,Domingo,21,18:00 a 23:59,18:00 a 23:59,Izabal,Puerto Barrios,Ignorada,Hombre,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
131,2023,Febrero,20,Lunes,13,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,7,Hombre,45,45-49,45-49,45 - 49,Robo de armas de fuego,Contra el patrimonio
132,2023,Febrero,20,Lunes,15,12:00 a 17:59,12:00 a 17:59,Guatemala,Guatemala,7,Hombre,51,50-54,50-54,50 - 54,Hurto de armas de fuego,Contra el patrimonio
133,2023,Febrero,20,Lunes,13,12:00 a 17:59,12:00 a 17:59,Izabal,Puerto Barrios,Ignorada,Hombre,27,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
134,2023,Febrero,21,Martes,11,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,35,35-39,35-39,35 - 39,Hurto de armas de fuego,Contra el patrimonio
135,2023,Febrero,21,Martes,6,06:00 a 11:59,00:00 a 11:59,Escuintla,Escuintla,Ignorada,Hombre,33,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
136,2023,Febrero,21,Martes,7,06:00 a 11:59,00:00 a 11:59,Guatemala,Guatemala,12,Hombre,56,55-59,55-59,55 - 59,Hurto de armas de fuego,Contra el patrimonio
137,2023,Febrero,22,Miércoles,10,06:00 a 11:59,00:00 a 11:59,Guatemala,Mixco,Ignorada,Hombre,32,30-34,30-34,30 - 34,Robo de armas de fuego,Contra el patrimonio
